"","MEbrown","MEyellow","MEred","MEpink","MEturquoise","MEmagenta","MEblue","MEblack","MEgreen","MEgrey"
"3FG1",-0.422326031429663,-0.26725984969986,0.135971260456408,0.450643457881202,0.319926490953514,0.271808534983447,-0.0868910736894244,-0.0659879451829413,0.204551553424323,0.275129766231683
"3FG2",-0.375906714544874,-0.53418765311405,0.279338283155101,0.538076403690789,0.435303446024408,0.263130254554646,-0.359887389038135,0.0693077568995868,0.341064217548529,0.317261832437471
"3FG3",-0.217291656100956,-0.457287863112786,0.27168618301435,-0.190999041526083,0.446947704122398,-0.65831300098374,-0.223093451382116,0.0743974814698621,0.340809974170868,-0.247204091637963
"3FS1",0.113610166515914,0.0807835455577508,0.177742566757685,0.300287976739353,0.0956382550872261,0.159349321018544,-0.207657190186557,-0.329038275888789,-0.169003501132025,0.183329158083739
"3FS2",0.127708028851946,-0.0990492694707804,0.21826288899996,0.0726263122106258,0.155737471206674,-0.143419364002759,-0.378939545306068,-0.287365142483014,-0.125841453510327,-0.0481650789074656
"3FS3",0.356676606439415,0.0523277310026075,0.230779057191823,-0.0876776537081262,0.0642609195228024,-0.296844499687706,-0.344426106280084,-0.367540880514502,-0.253412720360628,-0.102077214992136
"3MG1",-0.271382793239792,0.104002706152848,-0.428817179515931,-0.243878838717921,-0.122312821259092,-0.0422309805607148,0.375257374310303,0.401254578706238,0.204159209409444,-0.27712988178928
"3MG2",-0.182921188548564,0.0294795000751981,-0.519679937082375,-0.0700355574157269,-0.178832825451813,0.288294886945399,0.402780578902341,0.498534992831814,0.304858717016232,-0.515135135635616
"3MG3",-0.13859237637894,0.0123132140229433,-0.483442349007817,0.111864799052429,-0.112790631330212,0.379002582903121,0.368110988485737,0.424672004764396,0.253566676327065,-0.376345423621248
"3MS1",0.275881652257512,0.460073661590666,0.0962108757041333,-0.426053474369543,-0.338477891318288,-0.241492230146519,0.136995334094756,-0.222207557327642,-0.464303536234436,0.388526442105259
"3MS2",0.41459765243704,0.315069767915778,0.013539613669818,-0.281811858060188,-0.425805240509547,-0.0239589828675697,0.160861849379775,-0.119198980081264,-0.322626632644024,0.182061728528995
"3MS3",0.319946653740963,0.303734509079682,0.00840873665684455,-0.17304252577681,-0.339594877048071,0.0446734778438512,0.156888630709473,-0.0768280331937434,-0.313822504015021,0.219747899196561
